Item	Frequency
contracts	0.0069
bail	0.0069
elizabeth warren	0.0068
monoclonal antibodies	0.0068
normal life	0.0068
remote learning	0.0068
function research	0.0068
covid-19 vaccinations	0.0068
pfizers covid-19 vaccine	0.0068
strangers	0.0068
bill clinton	0.0068
markets	0.0068
pres trump	0.0068
strike	0.0068
kejriwal	0.0068
southern africa	0.0067
bbc scotland	0.0067
social care	0.0067
daily cases	0.0067
richard burr	0.0067
health minister	0.0067
taylor swift	0.0067
private hospitals	0.0067
new zealands	0.0067
attendees	0.0067
opportunities	0.0067
anc	0.0067
home orders	0.0067
chen qiushi	0.0067
nug	0.0067
nasser mohammed al-yamani	0.0066
rishi sunak	0.0066
bad news	0.0066
mrna vaccines	0.0066
covid symptoms	0.0066
covid situation	0.0066
washington dc	0.0066
bolton	0.0066
silence	0.0066
liberty	0.0066
period	0.0066
student	0.0066
maskers	0.0066
calgary	0.0066
qld	0.0066
mfs	0.0066
socialism	0.0066
ten days	0.0065
rupert murdoch	0.0065
big tech	0.0065
rural areas	0.0065
kristi noem	0.0065
christians	0.0065
documents	0.0065
secondary number	0.0065
patna	0.0065
harm	0.0065
steroids	0.0065
hubei province	0.0065
shanghai	0.0065
early treatment	0.0064
chinese communist party	0.0064
public schools	0.0064
hispanic	0.0064
supporters	0.0064
blood group	0.0064
colombia	0.0064
jandj	0.0064
bill	0.0064
ignorance	0.0064
manitoba	0.0064
