Item	Frequency
efforts	0.0099
covid passport	0.0098
same people	0.0098
maskless	0.0098
heartbreaking	0.0098
covid symptom	0.0097
case number	0.0097
wear mask	0.0097
uk government	0.0097
stats	0.0097
fox	0.0097
sanitizer	0.0097
jail	0.0097
case of coronavirus	0.0097
new zealand	0.0097
full	0.0097
daily case	0.0096
coronavirus relief	0.0096
exactly	0.0096
deadly virus	0.0095
yrs	0.0095
kong	0.0095
big pharma	0.0094
stimulus check	0.0094
heroes	0.0094
maga	0.0094
delayed	0.0094
dec	0.0094
total number	0.0094
climate change	0.0094
force	0.0094
pfizer vaccine	0.0093
conspiracy theorist	0.0093
healthcare system	0.0093
total death	0.0093
common sense	0.0093
congratulations	0.0093
icymi	0.0093
reckless	0.0093
russia	0.0093
grocery	0.0093
newsom	0.0093
polio	0.0093
few day	0.0093
lockdown restriction	0.0092
number of deaths	0.0092
economic recovery	0.0092
potus	0.0092
billions	0.0092
unprecedented	0.0092
kits	0.0092
yep	0.0092
next year	0.0092
other people	0.0092
covid time	0.0091
cdc guideline	0.0091
coronavirus test	0.0091
busy	0.0091
right thing	0.0091
denier	0.0091
man	0.0091
task	0.0091
travel restriction	0.009
ffs	0.009
urgently	0.009
treating	0.009
jandj	0.009
mutation	0.009
curb	0.009
first lockdown	0.0089
wuhan virus	0.0089
hcq	0.0089
danger	0.0089
mess	0.0089
jan	0.0089
capacity	0.0089
covering	0.0088
sturgeon	0.0088
non	0.0088
bihar	0.0088
number of units	0.0088
vaxed	0.0088
hong kong	0.0088
getting covid	0.0087
covid-19 update	0.0087
corona case	0.0087
september	0.0087
trumps	0.0087
refuses	0.0087
democracy	0.0087
antibodies	0.0087
destroy	0.0087
smh	0.0087
federal government	0.0087
killing people	0.0086
new study	0.0086
violence	0.0086
asshole	0.0086
remdesivir	0.0086
myocarditis	0.0086
december	0.0086
nhs staff	0.0085
emergency use	0.0085
flu season	0.0085
stay-at-home order	0.0085
catching	0.0085
suffer	0.0085
few week	0.0085
rapid test	0.0084
mrna vaccine	0.0084
saving life	0.0084
covid-19 response	0.0084
pres	0.0084
useless	0.0084
kenney	0.0084
hypocrisy	0.0084
