Item	Score
public money	0.1492
african	0.1492
moderna vaccine	0.1492
mental health issues	0.1491
mandatory vaccinations	0.149
challenging times	0.149
dominic cummings	0.1489
h.e. dr	0.1488
no mask	0.1487
gladys berejiklian	0.1487
delhi govt	0.1487
face mask	0.1487
gun violence	0.1485
mild symptoms	0.1484
early use	0.1483
coronavirus numbers	0.1483
pandemic restrictions	0.1482
policies	0.1482
massive protests	0.1482
clinical trials	0.1481
good hygiene	0.1481
covid wards	0.148
daily deaths	0.148
covid ward	0.148
surge	0.148
doctor	0.148
jason kenney	0.1479
cruise ship	0.1477
unvaccinated patients	0.1476
efficacy	0.1476
school board meetings	0.1474
benefits	0.1474
uttar pradesh	0.1473
international travel	0.1473
free tests	0.1471
modi govt	0.1471
fuck covid	0.1469
precautions	0.1469
chinese communist party	0.1468
poorer countries	0.1467
delhi government	0.1465
